"taxa_id","Kingdom","Phylum","Class","Clade","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","female_maturity.months.","male_maturity.months.","Gestation.months.","Weaning.months.","Infancy.months.","litter_size","litters_year","interbirth_interval","birth_weight.g.","weaning_weight.g.","adult_weight.g.","growth_rate.1.days.","max_longevity.months.","metabolic_rate","SE_simple","InferredNeoplasia","Keep"
952,"Animalia","Chordata","Mammalia","Mammalia","Artiodactyla","Bovidae","Capra","Capra_nubiana","Nubian ibex",35,1,0.028571429,"-",1,0,0,0,1,0.028571429,1,"-",35,1,35,3,"-",26.882643,41.2886259,4.930966469,7.503944773,7.503944773,1.11,0.8,1.41889117,2791.43,15691.695,46250,-1,268.8,-1,0.169030851,19.24168732,TRUE
3173,"Animalia","Chordata","Aves","Sauropsida","Passeriformes","Thraupidae","Paroaria","Paroaria_coronata","Red-crested cardinal",34,1,0.029411765,"-",1,0,0,0,1,0.029411765,1,"-",34,1,34,14,"-",-1,-1,-1,-1,1,-1,-1,-1,-1,-1,38.76666667,-1,-1,-1,0.171498585,1.58845846,TRUE
2492,"Animalia","Chordata","Aves","Sauropsida","Charadriiformes","Laridae","Larosterna","Larosterna_inca","Inca tern",34,1,0.029411765,"-",1,1,0.029411765,1,0,0,0,"-",34,1,34,9,"-",-1,-1,0.920447074,-1,10.28486727,-1,-1,-1,-1,-1,219,-1,312,-1,0.171498585,17.30537168,TRUE
4333,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Tropidolaemus","Tropidolaemus_wagleri","Wagler's pit viper",34,1,0.029411765,"-",1,1,0.029411765,1,0,0,0,"-",34,1,34,6,"-",-1,-1,12.62327416,0.190664037,0.190664037,-1,-1,5.8,-1,-1,-1,-1,-1,-1,0.171498585,-1,TRUE
3372,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Tropiduridae","Plica","Plica_plica","Collared tree lizard",33,1,0.03030303,"-",1,1,0.03030303,1,0,0,0,"-",33,1,33,2,"-",-1,-1,-1,-1,1,2.655,-1,-1,2.89,-1,69.825,-1,-1,-1,0.174077656,1.844010944,TRUE
2958,"Animalia","Chordata","Aves","Sauropsida","Psittaciformes","Psittacidae","Neophema","Neophema_splendida","Neophema splendida",33,1,0.03030303,"-",1,1,0.03030303,1,0,0,0,"-",33,1,33,7,"-",-1,-1,-1,-1,5.538005454,-1,-1,-1,-1,-1,38.6,-1,168,-1,0.174077656,14.938443,TRUE
2296,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Colubridae","Hydrodynastes","Hydrodynastes_gigas","Boipevassu cobra",33,1,0.03030303,"-",6,1,0.03030303,0.5,0,0,0.5,"-",38,6,33,8,"-",-1,-1,-1,-1,6.685163726,10,-1,-1,-1,-1,-1,-1,202.8,-1,0.174077656,-1,TRUE
140,"Animalia","Chordata","Aves","Sauropsida","Anseriformes","Anatidae","Aix","Aix_galericulata","Mandarin duck",32,1,0.03125,"-",6,1,0.03125,1,0,0,0,"-",37,6,32,7,"-",11.94832347,-1,0.953320184,-1,363.468,10.5,-1,-1,-1,-1,570,-1,124.8,-1,0.176776695,15.33316237,TRUE
1029,"Animalia","Chordata","Mammalia","Mammalia","Primates","Callitrichidae","Cebuella","Cebuella_pygmaea","Pygmy marmoset",64,2,0.03125,"-",2,0,0,0,2,0.03125,1,"-",64,2,64,14,"-",22.4852071,20.97304405,4.109138725,2.991452991,2.991452991,-1,-1,5.62,16,70,124,-1,223.2,-1,0.125,16.18558683,TRUE
2391,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Iguanidae","Iguana","Iguana_iguana","Green iguana",32,1,0.03125,"-",1,0,0,0,1,0.03125,1,"-",32,1,32,11,"-",53.91190007,53.91190007,-1,-1,164,35,-1,-1,16.175,-1,1530,-1,237.6,-1,0.176776695,17.43977005,TRUE
