taxa_id,Kingdom,Phylum,Class,Clade,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,---,female_maturity(months),male_maturity(months),Gestation(months),Weaning(months),Infancy(months),litter_size,litters_year,interbirth_interval,birth_weight(g),weaning_weight(g),adult_weight(g),growth_rate(1/days),max_longevity(months),metabolic_rate,SE_simple
2888,Animalia,Chordata,Mammalia,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,Ferret,105,66,0.628571429,-,79,43,0.40952381,0.683544304,22,0.20952381,0.316455696,-,119,80,105,29,-,10.25641026,10.58514135,1.380670611,2.071005917,2.071005917,7.5,1.5,4.6,9.5,-1,809,0.0328,133.2,847.8,0.097590007
1827,Animalia,Chordata,Aves,Sauropsida,Pelecaniformes,Threskiornithidae,Eudocimus,Eudocimus ruber,Scarlet ibis,105,3,0.028571429,-,3,0,0,0,3,0.028571429,1,-,105,3,105,17,-,-1,-1,0.756081525,-1,13.13298436,-1,-1,-1,-1,-1,615,-1,398.4,-1,0.097590007
3633,Animalia,Chordata,Aves,Sauropsida,Piciformes,Ramphastidae,Ramphastos,Ramphastos swainsonii,Chestnut-mandibled toucan,102,4,0.039215686,-,4,2,0.019607843,0.5,2,0.019607843,0.5,-,102,4,102,24,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.099014754
3280,Animalia,Chordata,Aves,Sauropsida,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus ruber,American flamingo,101,3,0.02970297,-,2,1,0.00990099,0.5,1,0.00990099,0.5,-,101,3,101,17,-,59.99342538,59.99342538,-1,-1,182.5,-1,1.5,-1,85,-1,3065.8,-1,528,-1,0.099503719
2701,Animalia,Chordata,Mammalia,Mammalia,Diprotodontia,Macropodidae,Osphranter,Osphranter rufus,Red kangaroo,96,9,0.09375,-,7,5,0.052083333,0.714285714,2,0.020833333,0.285714286,-,96,9,96,18,-,16.99539776,26.4957265,1.084812623,11.83431953,11.83431953,-1,1.36,7.92,0.784,5000,55000,0.0075,300,5568.64,0.102062073
1196,Animalia,Chordata,Reptilia,Sauropsida,Testudines,Chelidae,Chelodina,Chelodina mccordi,Mccords snake-necked turtle,96,0,0,-,0,0,0,NA,0,0,NA,-,96,0,96,6,-,-1,-1,-1,-1,1,6.5,-1,-1,-1,-1,-1,-1,-1,-1,0.102062073
7,Animalia,Chordata,Mammalia,Mammalia,Didelphimorphia,Didelphidae,Philander,Didelphis marsupialis,Opossum,96,34,0.35416667,,39,27,0.28125,0.79411765,7,0.07291667,0.2058,,101,39,96,26,,5.950032873,7.938856016,0.394477318,3.22156476,3.22156476,11.045,-1,5.29,0.1735,119.25,2265,-0.49355,64.8,665.205,0.156417972
2520,Animalia,Chordata,Mammalia,Mammalia,Primates,Lemuridae,Lemur,Lemur catta,Ring-tailed lemur,95,27,0.284210526,-,32,22,0.231578947,0.6875,5,0.052631579,0.3125,-,100,32,95,27,-,19.55950033,29.98027613,4.437869822,4.996712689,4.996712689,1.1,0.9,12,70.6,-1,2555,-1,447.6,-1,0.102597835
2886,Animalia,Chordata,Mammalia,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nigripes,Black footed ferret,92,11,0.119565217,-,70,7,0.076086957,0.728571429,4,0.043478261,0.271428571,-,151,70,92,10,-,11.99868508,11.99868508,1.413543721,1.96120973,1.96120973,3.36,1.1,12,7.4,-1,1021,-1,112.8,-1,0.104257207
3334,Animalia,Chordata,Aves,Sauropsida,Passeriformes,Pittidae,Pitta,Pitta sordida,Hooded pitta,89,0,0,-,0,0,0,NA,0,0,NA,-,89,0,89,11,-,-1,-1,-1,-1,1,3.85,-1,-1,-1,-1,64,-1,-1,-1,0.105999788
1435,Animalia,Chordata,Amphibia,Amphibia,Anura,Ceratobatrachidae,Cornufer,Cornufer guentheri,Solomon island leaf frog,89,5,0.056179775,-,4,3,0.033707865,0.75,1,0.011235955,0.25,-,89,5,89,11,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.105999788
1155,Animalia,Chordata,Reptilia,Sauropsida,Squamata,Chamaeleonidae,Chamaeleo,Chamaeleo calyptratus,Veiled chameleon,87,4,0.045977011,-,7,0,0,0,2,0.022988506,1,-,92,9,87,11,-,4.437869822,4.50295858,-1,-1,13.599,35,2.4,-1,0.56,-1,200.215,-1,-1,-1,0.107211253
3100,Animalia,Chordata,Mammalia,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Sheep,87,24,0.275862069,-,24,16,0.183908046,0.666666667,8,0.091954023,0.333333333,-,87,24,87,24,-,18.01446417,30.04602235,4.79947403,5.982905983,5.982905983,1.58,1.1,12,2370,17500,80000,-1,273.6,-1,0.107211253
2521,Animalia,Chordata,Mammalia,Mammalia,Primates,Callitrichidae,Leontopithecus,Leontopithecus chrysomelas,Golden-headed tamarin,85,15,0.176470588,-,15,9,0.105882353,0.6,6,0.070588235,0.4,-,85,15,85,24,-,21.50237278,23.99737015,4.352287968,4.30226167,4.30226167,2.04,1.75,0.508555784,55.07,165,535,-1,255.6,-1,0.108465229
