taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,SE_simple
2753,Animalia,Chordata,Reptilia,Squamata,Colubridae,Masticophis,Masticophis bilineatus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3940,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia,Spilopelia chinensis,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1601,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Cyclura,Cyclura ricordi,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2820,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops bulocki,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
1356,Animalia,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,Cnemidophorus lemniscatus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2572,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,Lialis,Lialis burtonis,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,2,0.577350269
661,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Bavayia,Bavayia montana,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1035,Animalia,Chordata,Reptilia,Squamata,Anguidae,Diploglossus,Celestus occiduus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1305,Animalia,Chordata,Aves,Passeriformes,Icteridae,Chrysomus,Chrysomus icterocephalus,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
2846,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Miopithecus,Miopithecus talapoin,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
1159,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,Chamaeleo hoehnelii,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
4068,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,Tangara gyrola,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2371,Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix cristata,NA,5,1,0.2,-,1,1,0.2,1,0,0,0,-,5,1,5,3,0.447213595
232,Animalia,Chordata,Reptilia,Squamata,Teiidae,Ameiva,Ameiva chrysolaema,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
4035,Animalia,Chordata,Aves,Galliformes,Phasianidae,Syrmaticus,Syrmaticus reevesii,NA,2,1,0.5,-,1,1,0.5,1,0,0,0,-,2,1,2,2,0.707106781
12854,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Acrocodia,Acrocodia indica,Malayan Tapir,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
3372,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Plica,Plica plica,Collared tree lizard,33,1,0.03030303,-,1,1,0.03030303,1,0,0,0,-,33,1,33,2,0.174077656
1729,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Elaphe bairdi,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,2,0.577350269
1498,Animalia,Chordata,Mammalia,Rodentia,Muridae,Cricetus,Cricetus cricetus,European Hamster,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
2086,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnomuraena,Gymnomuraena zebra,NA,5,0,0,-,0,0,0,NA,0,0,NA,-,5,0,5,3,0.447213595
19623,Animalia,Euchelicerata,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,Huntsman spider,4,0,0,-,0,0,0,NA,0,0,NA,-,4,0,4,1,0.5
2511,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Leiocephalus,Leiocephalus personatus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1106,Animalia,Chordata,Reptilia,Squamata,Viperidae,Cerrophidion,Cerrophidion godmani,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3336,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis melanoleucus,NA,15,3,0.2,-,3,3,0.2,1,0,0,0,-,15,3,15,8,0.25819889
251,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphipholis,Amphipholis squamata,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
